name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Piveau,,https://www.piveau.de/,logos/3a6d1663ff587d9b0482d9410793ec2851c1098ff19f4157ef937a9a14c81065.png,,,,,graduated,"aggregation,datennutzung,bereitstellung,erfassung,datenkonvertierung",,,"Piveau ist ein Datenmanagement Werkzeug für die Verarbeitungskette von der Erfassung, Aggregation, Bereitstellung bis zur Nutzung der Daten.",,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2023-04-28,2023-04-28,2025-09-25,,,,,,,,2025-11-11,https://interoperable-europe.ec.europa.eu/collection/open-data/solution/piveau
Portainer,,https://www.portainer.io/,logos/26a4cb97f4060f6efc84f4660edf8e33c51c2b7889d2d7299ee90144aeb83803.png,,,,,graduated,orchestrierung,,,"Portainer ist eine benutzerfreundliche, webbasierte Management-Plattform für Container, die es ermöglicht, Docker- und Kubernetes-Umgebungen mit einer einfachen Oberfläche zu verwalten und zu überwachen. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2016-06-02,2016-06-02,2025-09-25,,,,,,,,2025-11-11,https://github.com/portainer
PostgreSQL,,https://www.postgresql.org/,logos/ff92fb5d12a7fa6b23c2eb403d2edf4fbc58ced802021e1f02c3583cb70957be.png,,,,,graduated,"open-source,datenbank,sql,relational",,,"PostgreSQL ist ein objektrelationales Datenbankmanagementsystem (ORDBMS), das für seine Einhaltung von SQL-Standards, seine Erweiterbarkeit und seine Zuverlässigkeit bekannt ist. Es wird häufig in Anwendungen eingesetzt, die komplexe Transaktionen und große Datenmengen verarbeiten.",,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,1989-06-01,1996-07-08,2025-08-14,,,,,,,,,
PromptFlow,,https://microsoft.github.io/promptflow/,logos/f8956132eb8e50d506a860e14507134bf0756ef8d1b1f1196f7f5e929160ef36.png,,,,,graduated,"entwicklung,verarbeitung",,,PromptFlow ist ein Framework von Entwicklungswerkzeugen für KI-Anwendungen von der Ideenfindung bis zum Monitoring. ,,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2023-08-09,2023-08-09,2025-01-09,,,,,,,,2025-11-11,https://github.com/microsoft/promptflow
Pyro,,https://pyro.ai/,logos/edeafd8654186b9a6f1a34f8ad10c8a5d085908a2be4a8e1312a75d4c40dfc43.png,,,,,graduated,"deep-learning,verarbeitung,probabilistische-programmierung,ppl",,,"Pyro ist eine universelle probabilistische Programmiersprache (PPL) basierend auf PyTorch, die tiefes probabilistisches Modellieren für AI-Forschung ermöglicht. Sie vereint moderne Deep Learning-Ansätze mit Bayesianischer Modellierung und bietet flexible, skalierbare Inferenzalgorithmen.",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2017-11-03,2017-11-03,2024-06-02,,,,,,,,2025-11-11,https://docs.pyro.ai/en/stable/
Python,,https://www.python.org/,logos/e5eff4271fad17114293879fcf7dd553cde92476d052a5ac9d6faec1e4799e9f.png,,,,,graduated,"programmierung,sprache",,,Python ist eine Programmiersprache zur Webentwicklung und für Prototyping.,,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,1991-02-20,1991-02-20,2025-10-07,,,,,,,,2025-11-11,https://docs.python.org/3/
PyTorch,,https://pytorch.org/,logos/f818a73508cc776103a0562ecf5a16138cadb5c76843d33ebca4b37900554318.png,,,,,graduated,"deep-learning,neuronale-netze,verarbeitung,nlp,machine-learning",,,"PyTorch ist eine Bibliothek für maschinelles Lernen, Deep Learning und Natural Language Processing.  ",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2016-09-01,2016-09-01,2025-08-06,,,,,,,,2025-11-11,https://docs.pytorch.org/docs/stable/index.html
Quick UDP Internet Connections (QUIC),,https://quicwg.org/,logos/846035de70224ae0c990ceeaf0b03779d6ba37ebf382395ad54fe6518cfd5b02.png,,,,,graduated,"sicherheit,datenuebertragung",,,"QUIC ist ein verbindungsorientiertes, performantes und verschlüsseltes Protokoll für die Datenübertragung.",,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,2016-07-20,2021-05-01,2023-05-01,,,,,,,,2025-11-11,https://github.com/quicwg
R,,https://www.r-project.org/,logos/78b4fc7952f18bcdd48077dd52bb7eb5aa07141828ec743b9528445c47771582.png,,,,,graduated,"programmierung,sprache",,,"R ist eine Programmiersprache Analyse, Bereinigung, Modellierung und Visualisierung von Daten.",,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,1992-01-01,1993-08-01,2025-06-13,,,,,,,,,
RAGFlow,,https://ragflow.io/,logos/9bffc55ba871d69df376f299767c3c3734cef17c05da8c339a8a9de3868d9aad.png,,,,,graduated,"retrieval-augmented-generation,rag,verarbeitung",,,RAGFlow wird als Engine für Retrieval-Augmented Generation (RAG) eingesetzt um Ergebnisse anhand von Kontext zu verbessern beziehungsweise die Wissensbasis zu erweitern.,,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2023-12-12,2024-04-15,2025-09-10,,,,,,,,2025-11-11,https://ragflow.io/docs/dev/
Rancher,,https://www.rancher.com/,logos/386d8e1beb984d1ad08e06750aad0fb93fba7865f8fb6a96fdc7af89267b76d9.png,,,,,graduated,"orchestrierung,container",,,Rancher ist eine Open-Source-Plattform zur Verwaltung und Bereitstellung mehrerer Kubernetes-Cluster und Container-Anwendungen. Es bietet eine einfache Benutzeroberfläche. ,,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2019-12-04,2019-12-04,2025-09-26,,,,,,,,2025-11-11,https://github.com/rancher/rancher
React,,https://react.dev/,logos/941d83aa71a303c0de8487467ed2a01473fc6c50103e8004f2ebfbb8c90c33d8.png,,,,,graduated,"webdesign,components,user-interface",,,"Mit React können Sie Benutzeroberflächen aus einzelnen Teilen, sogenannten Komponenten, erstellen. Kombinieren Sie diese dann zu ganzen Webseiten und Apps.",,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,2013-05-01,2013-07-02,2025-07-28,,,,,,,,2025-11-11,https://react.dev/learn
Representational State Transfer,,https://www.ics.uci.edu/~fielding/pubs/dissertation/rest_arch_style.htm,logos/8fefa273a8833cc0268ea8fbef1e655de183dd376fed3452e114d3809df27d61.png,,,,,graduated,schnittstelle,,,"REST ist ein Architekturstil für verteilte Systeme, der 2000 von Roy Fielding definiert wurde. REST basiert auf den etablierten Web-Standards HTTP, URI und JSON und ermöglicht eine einfache, skalierbare Kommunikation zwischen verschiedenen Systemen über das Internet. REST Schnittstellen folgen einem ressourcenorientierten Ansatz mit einheitlichen Schnittstellen und sind zustandslos konzipiert.",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2000-01-01,2000-01-01,2000-01-01,,,,,,,,,
Resource Description Framework (RDF),,https://www.w3.org/RDF/,logos/fe0c91c346fd5059386ac912370d136192cf008de8a0c9ca6ed620c79c4b392a.png,,,,,graduated,datenformat,,,RDF ist ein Datenformat für den Datenaustausch.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,1997-08-01,1999-02-22,2014-02-25,,,,,,,,2025-11-11,https://www.w3.org/standards/techs/rdf
Rivest–Shamir–Adleman,,https://csrc.nist.gov/projects/digital-signatures,logos/239a2e2e2fe32f2a798dbca63e97dc6873c578aea06b0d90aa3b0942d1a921c3.png,,,,,graduated,"asymmetrisch,pki,schluessel,kryptografie,algorithmus,verschluesselung",,,RSA ist ein asymmetrisches kryptographisches Verfahren für das Verschlüsseln und Signieren auf Basis des Faktorisierungsproblems. Es wird eine Schlüssellänge von mindestens 3000 empfohlen.,,,,,,,,,,,, Betrieb, Sicherheit,true,,,,,,,,,,,,1976-11-06,1977-01-01,1977-01-01,,,,,,,,2025-11-11,https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/Publikationen/TechnischeRichtlinien/TR02102/BSI-TR-02102.pdf?__blob=publicationFile
Robot Framework,,https://robotframework.org/,logos/67cfd8fcf111af4639bb16534adc104bfe555fcfbe17601e0dd32961d1b92bb6.png,,,,,graduated,"robot-process-automation,verarbeitung,rpa",,,Robot Framework ist ein Framework für Automatisierung von Tests und im Rahmen von Robot Process Automation. Genutzt wird eine prozedurale Skriptsprache.,,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2004-01-01,2014-10-07,2025-07-04,,,,,,,,2025-11-11,https://docs.robotframework.org/docs
Rust,,https://rust-lang.org/,logos/83c38ca14d64d7d92b925998e6fd9f66abb07767239dfe9fdc6a178e796b9ae6.png,,,,,graduated,"programmierung,sprache",,,Rust ist eine systemnahe Programmiersprache. Rust arbeitet mit Typen statt einer Garbage Collection um Speichermanagement zu verbessern. ,,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,2020-09-10,2020-09-10,2025-09-18,,,,,,,,2025-11-11,https://rust-lang.org/learn/
Scylla,,https://www.scylladb.com/,logos/ee7229c440098c50604965796c9dfaa2bbfd5e237ccb007bc24962185bd21736.png,,,,,graduated,"nosql,datenbank,spalten",,,Scylla ist eine spaltenorientierte NoSQL Datenbank.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2014-12-01,2015-09-01,2024-09-24,,,,,,,,2025-11-11,https://github.com/scylladb
SD-WAN Service Attributes and Service Framework (MEF),,https://www.mplify.net/resources/mef-70-2-sd-wan-service-attributes-and-service-framework/,logos/f7a16e544d053e463d16904b12334512e86b014f7d45b62cbff1156e42ed4d98.png,,,,,graduated,"netz,sd-wan,netzwerk,wide-area,wan",,,MEF definiert SD-WAN Services und Attribute. SD-WAN ist eine Technologie zur Verbindung weit entfernter Netzwerksegemente über verschiedene Anschlusstypen/ Medien.,,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,2010-01-01,2014-01-01,2023-10-01,,,,,,,,2025-11-11,https://www.mplify.net/service-standards/overlay-services/sd-wan/
Secure Hash Algorithm,,https://csrc.nist.gov/projects/hash-functions,logos/e694fd382ec52076c56eef157bfe3e361b202a1839f3d2d4a056abe2b2f6a8de.png,,,,,graduated,"schluessel,integritaet,manipulation,pruefwert",,,SHA wandelt Daten in einen eindeutigen Prüfwert um. Der Prüfwert kann zu Sicherstellung der Integrität genutzt werden (digitaler Fingerabdruck).,,,,,,,,,,,, Betrieb, Sicherheit,true,,,,,,,,,,,,1993-01-01,2011-01-01,2015-08-05,,,,,,,,2025-11-11,https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/Publikationen/TechnischeRichtlinien/TR02102/BSI-TR-02102.pdf?__blob=publicationFile
Segment Routing (SR),,https://datatracker.ietf.org/doc/html/rfc8402,logos/571057fb368f948ffc5295f16685177cbd8148557d33bcf24628cac426f848f0.png,,,,,graduated,"netz,netzwerk,segment,routing",,,Segment Routing ist eine Technologie zur Vereinfachung des Routens von Daten. Zur Optimierung werden Pfadinformationen im Header gespeichert.,,,,,,,,,,,, Infrastruktur, Verteilung,true,,,,,,,,,,,,2013-01-01,2018-07-01,2018-07-01,,,,,,,,,
Selenium,,https://www.selenium.dev/,logos/a7407278612de9b8fb2a26037213908c8ebb54c4d6d95e8a0f34045088b0ebcf.png,,,,,graduated,"automation,testing,user-interface",,,"Selenium ist ein Open‑Source‑Projekt, das Entwicklern und Testern ermöglicht, Web‑Browser automatisch zu steuern. Mit Selenium können wiederkehrende Aufgaben – etwa das Öffnen einer Webseite, das Ausfüllen von Formularen, das Klicken auf Buttons oder das Prüfen von Inhalten – programmgesteuert durchgeführt werden. Der Hauptzweck liegt darin, funktionale Tests von Web‑Anwendungen zu automatisieren, sodass die Qualität der Software zuverlässig und effizient überprüft werden kann, ohne dass jede Testschritt manuell ausgeführt werden muss. Durch die Unterstützung verschiedener Browser (wie Chrome, Firefox, Edge und Safari) und Programmiersprachen (z. B. Java, Python, C#) lässt sich Selenium flexibel in bestehende Entwicklungs‑ und Continuous‑Integration‑Umgebungen integrieren.",,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,2004-08-01,2004-10-09,2025-10-02,,,,,,,,2025-11-11,https://www.selenium.dev/documentation/
Session Initiation Protocol (SIP),,https://datatracker.ietf.org/wg/sipcore/about/,logos/2b4c30fd71bf366a8b6badbdc405483d0a5c8d1d7fc596d68e62418d415f748d.png,,,,,graduated,"telefonie,kommunikation",,,SIP ist ein Netzprotokoll zur Etablierung und Steuerung von Kommunikationssitzungen mit mehreren Teilnehmenden. SIP ist Grundlage für IP-Telefonie (Voice over IP). ,,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,1996-01-01,1999-03-01,2007-06-01,,,,,,,,2025-11-11,https://github.com/ietf-wg-sipcore
Simple Mail Transfer Protocol Secure (SMTPS),,https://datatracker.ietf.org/doc/html/rfc8314,logos/0989f57d36ab6834b9db46f90315a0bec2f5b63bf4cb0960f51f67754abc9748.png,,,,,graduated,"msa,e-mail,mta,datenuebertragung,mua",,,SMTPS dient dem sicheren Austausch von E-Mails.,,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,1980-09-01,1982-08-01,2018-01-01,,,,,,,,,
Simple Object Access Protocol,,https://www.w3.org/TR/soap/,logos/932a5d4e85f19fc342bd4dc8c6ed1b2c23c0f45fbe9559a62844abd0587cb49d.png,,,,,graduated,"api,xml,schnittstelle",,,"SOAP ist ein Protokoll, das den Austausch von strukturierten Informationen in verteilten und dezentralisierten Umgebungen ermöglicht. Es nutzt XML als Format für Anfragen und Antworten und arbeitet oft über HTTP, kann aber auch andere Protokolle nutzen. Der Hauptzweck von SOAP liegt in der Unterstützung von Interoperabilität und Sicherheit in komplexen Unternehmensanwendungen, wobei es strikt definierten Standards für Webservices folgt.",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,1999-01-01,2000-05-08,2007-04-27,,,,,,,,2025-11-11,https://www.w3.org/2000/xp/Group/
spaCy,,https://spacy.io/usage,logos/3a7a3cb2a1d5987a820e0b9bc2e4e490000ddeb3a1fdf7a5e0e5e7caae15f256.png,,,,,graduated,"dl,verarbeitung,nlp",,,"spaCy ist eine Python-Bibliothek für Natural Language Processing. Sie bietet Informationsextraktion, Textanalyse und Vorverarbeitung für Deep Learning. Die Bibliothek bietet gebrauchsfertige Modelle sowie die Möglichkeit zum Training eigener Modelle. ",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2015-01-01,2016-10-19,2025-05-23,,,,,,,,2025-11-11,https://v2.spacy.io/
Spinnaker,,https://spinnaker.io/,logos/dac742d7124ea0c3cea5a726e821637f07ee7749d7e2148a6e8f159fae982197.png,,,,,graduated,"pipeline,cd,bereitstellung,ci",,,Spinnaker ist eine quelloffene Continuous-Delivery-(CD)-Plattform. Sie konzentriert sich auf die schnelle und sichere Bereitstellung von Softwareänderungen. ,,,,,,,,,,,, Betrieb, Inbetriebnahme,true,,,,,,,,,,,,2025-04-19,2025-04-19,2025-09-24,,,,,,,,2025-11-11,https://github.com/spinnaker/spinnaker
Swift,,https://www.swift.org/,logos/d2461fcfb016d21d5f1ed56d9637f5b2df7d112355cfc0a9d8ecb7e0587a3966.png,,,,,graduated,"multi-plattform,programmierung,sprache",,,Swift dient für die Entwicklung von Apps für Apple-Geräte. ,,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,2010-07-01,2014-09-09,2025-09-29,,,,,,,,2025-11-11,https://www.swift.org/documentation/
TensorFlow,,https://www.tensorflow.org/,logos/50f89a28952b1af3c87ee9eef483ecbc89c1c3653903047bb4ae7bf1596a670c.png,,,,,graduated,"machine-learning,inferenz,verarbeitung,training",,,TensorFlow ist eine Bibliothek für maschinelles Lernen und Künstliche Intelligen. Es wird insbesondere für Training und Inferenz von neuronalen Netzen eingesetzt.,,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2015-01-09,2016-02-17,2025-08-13,,,,,,,,2025-11-11,https://github.com/tensorflow/serving
Traefik,,https://traefik.io/traefik,logos/945f062daf8952e8af67bd4d3c6db67c5ea8f42489153f025dd45d69d2d796a9.png,,,,,graduated,"proxy,load-balancer,orchestrierung",,,"Traefik ist ein moderner, Cloud-nativer Open-Source-Reverse-Proxy und Load Balancer. Er integriert sich dynamisch in bestehende Infrastrukturen wie Docker und Kubernetes, verwaltet eingehenden Traffic und leitet ihn an die richtigen Dienste weiter. ",,,,,,,,,,,, Plattform, Integration,true,,,,,,,,,,,,2015-10-08,2015-10-08,2025-09-26,,,,,,,,2025-11-11,https://github.com/traefik/traefik
Transmission Control Protocol (TCP),,https://datatracker.ietf.org/doc/html/rfc9293,logos/f3cd04299a4bde9e0acc7cbba2d28910adbd335a83db966757b1ea1b49f0706c.png,,,,,graduated,"paket,datenuebertragung,zustellung,datenintegritaet",,,TCP ist in Verbindung mit IP Kern für die Funktionsfähigkeit des Internet. Die Datenübertragung erfolgt durch Zerlegung in einzelne Pakete inklusive der Sicherstellung der Übermittlung. ,,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,1981-09-01,1981-09-01,2022-08-01,,,,,,,,,
Transport Layer Security (TLS),,https://datatracker.ietf.org/wg/tls/documents/,logos/e4eee8dc13049e71f793a6f7faba077e563a9477b486108396cec12811cad439.png,,,,,graduated,"ssl,sicherheit,sdns,datenuebertragung",,,"TLS dient der Verschlüsselung der Datenübertragung. TLS besteht aus dem Austausch von Schlüsseln, der Authentifizierung und der Realisierung der sicheren Datenübertragung. ",,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,1986-08-01,1994-07-01,2018-08-01,,,,,,,,2025-11-11,https://datatracker.ietf.org/doc/html/rfc8446
TypeScript,,https://www.typescriptlang.org/,logos/df1fde8caf51c90363b196965d550785e2efa7d3709ff8decfbde26442dd51cf.png,,,,,graduated,"programmierung,sprache",,,TypeScript ist eine Programmiersprache die JavaScript um statische Typisierung erweitert. ,,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,2012-01-01,2014-10-07,2025-10-01,,,,,,,,2025-11-11,https://www.typescriptlang.org/docs/handbook/intro.html
User Datagram Protocol (UDP),,https://datatracker.ietf.org/doc/html/rfc768,logos/0b518316f9224dcc0a5182f335d46aa662580acb09fc641028b4c73425a2aa5e.png,,,,,graduated,"datenuebertragung,echtzeit",,,UDP ist ein einfaches Datenübertragungsprotokoll ohne Zusatzfunktionen. ,,,,,,,,,,,, Infrastruktur, Transport,true,,,,,,,,,,,,1980-08-28,1980-08-28,1980-08-28,,,,,,,,,
WebKit,,https://webkit.org/,logos/51ccaeb506d23f450e7ac3a7508ee24f96a2d29c9e831524a233d8f461e59826.png,,,,,graduated,"webseite,browser-engine,rendern",,,WebKit ist eine Browser-Engine zum Rendern von Webseiten. Es wird insbesondere von Apple für Safari genutzt. ,,,,,,,,,,,, Zugang, Browser,true,,,,,,,,,,,,2001-08-24,2005-06-07,2025-09-17,,,,,,,,2025-11-11,https://github.com/WebKit/WebKit
WiFi,,https://www.wi-fi.org/,logos/5f26563a33e2d527af40fa7db14fa80083f53e12e5143265cbc85a416f286bed.png,,,,,graduated,"funk,hotspot,tethering,drahtlos",,,"Mit Wireless LAN können in kleiner bis mittlerer Reichweite Endgeräte vernetzt werden (Ad-hoc, via Basisstation/ Access Point oder als Mesh). Die IEEE standardisiert die Technologie mit IEEE 802.11 ff. Die Konfiguration erfolgt durch SSID und Passwort. Wi-Fi dient als Kennzeichen für zertifizierte Produkte zur Sicherstellung von Interoperabilität. ",,,,,,,,,,,, Infrastruktur, Anschluss,true,,,,,,,,,,,,1999-06-20,2018-10-01,2024-01-09,,,,,,,,2025-11-11,https://ieeexplore.ieee.org/browse/standards/get-program/page/series?id=68
YAML Ain't Markup Language,,https://yaml.org/,logos/1d30ee4863b90467223004c9223dacfed1d230fa5c6e307670fe6c3df5bbc9ca.png,,,,,graduated,datenformat,,,YAML ist ein Datenformat für den Datenaustausch.,,,,,,,,,,,, Plattform, Daten,true,,,,,,,,,,,,2001-05-11,2004-01-29,2021-10-01,,,,,,,,2025-11-11,https://github.com/yaml/
